year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2014-15,2014,Ch.I  Infectious & parasitic,465599.0,351645.0,284102.0,52650.0,11479.0,227770.0,237807.0,0.8079
2014-15,2014,Ch.II  Neoplasms,2346918.0,2155112.0,208262.0,953145.0,981700.0,1143363.0,1203463.0,0.0966
2014-15,2014,Ch.IV  Endocrine & metabolic,320094.0,247241.0,114401.0,57323.0,73223.0,157228.0,162844.0,0.4627
2014-15,2014,Ch.IX  Circulatory system,1423373.0,969783.0,517691.0,364422.0,44996.0,804412.0,618907.0,0.5338
2014-15,2014,Ch.V  Mental & behavioural,255973.0,179305.0,139434.0,12966.0,18836.0,138066.0,117678.0,0.7776
2014-15,2014,Ch.VI  Nervous system,438334.0,366920.0,127504.0,150097.0,84034.0,199501.0,238804.0,0.3475
2014-15,2014,Ch.VII/VIII  Eye & Ear,804289.0,791448.0,47291.0,669511.0,73782.0,364080.0,440157.0,0.0598
2014-15,2014,Ch.X  Respiratory system,1460221.0,941282.0,748834.0,150326.0,29578.0,726653.0,733534.0,0.7955
2014-15,2014,Ch.XI  Digestive system,2232537.0,1928475.0,491775.0,1232240.0,197997.0,1091420.0,1140928.0,0.255
2014-15,2014,Ch.XII  Skin,378853.0,316390.0,154567.0,138182.0,20460.0,195418.0,183415.0,0.4885
2014-15,2014,Ch.XIII  Musculoskeletal,1401022.0,1321636.0,224061.0,907253.0,183746.0,579405.0,821464.0,0.1695
2014-15,2014,Ch.XIV  Genitourinary,1162786.0,927913.0,379110.0,459685.0,80705.0,489529.0,673175.0,0.4086
2014-15,2014,Ch.XIX  Injury & poisoning,19959483.0,16905343.0,6418866.0,6271655.0,2186459.0,8960727.0,10996303.0,0.3797
2014-15,2014,Ch.XV  Pregnancy & childbirth,1288260.0,1247770.0,127036.0,74734.0,19367.0,25.0,1288223.0,0.1018
2014-15,2014,Ch.XVI  Perinatal,293938.0,243590.0,45317.0,2825.0,2310.0,161261.0,132533.0,0.186
2014-15,2014,Ch.XVII  Congenital,121235.0,107143.0,10066.0,63234.0,19003.0,70230.0,50961.0,0.0939
2014-15,2014,Ch.XVIII  Symptoms & signs,1986747.0,1690942.0,1152464.0,420507.0,79784.0,911781.0,1074007.0,0.6816
2014-15,2014,Ch.XXI  Health status factors,1124288.0,1092968.0,40626.0,257759.0,201669.0,497856.0,626308.0,0.0372
2014-15,2014,Other,24.0,8.0,7.0,0.0,0.0,21.0,3.0,0.875
2015-16,2015,Ch.I  Infectious & parasitic,501116.0,373369.0,306087.0,52237.0,11857.0,247435.0,253661.0,0.8198
2015-16,2015,Ch.II  Neoplasms,2464628.0,2261812.0,209880.0,1020165.0,1021133.0,1202466.0,1262087.0,0.0928
2015-16,2015,Ch.IV  Endocrine & metabolic,341405.0,261045.0,120662.0,59975.0,78190.0,167758.0,173632.0,0.4622
2015-16,2015,Ch.IX  Circulatory system,1480394.0,1001933.0,535875.0,376192.0,48699.0,838567.0,641753.0,0.5348
2015-16,2015,Ch.V  Mental & behavioural,256888.0,176981.0,142234.0,10765.0,16149.0,137379.0,119249.0,0.8037
2015-16,2015,Ch.VI  Nervous system,447179.0,371092.0,129705.0,150762.0,85722.0,202795.0,244359.0,0.3495
2015-16,2015,Ch.VII/VIII  Eye & Ear,812690.0,798623.0,50061.0,658060.0,89596.0,367359.0,445290.0,0.0627
2015-16,2015,Ch.X  Respiratory system,1533160.0,984550.0,791063.0,149450.0,32421.0,768912.0,764172.0,0.8035
2015-16,2015,Ch.XI  Digestive system,2354531.0,2033936.0,508708.0,1300948.0,218151.0,1152768.0,1201541.0,0.2501
2015-16,2015,Ch.XII  Skin,398640.0,329776.0,164045.0,141887.0,20937.0,206184.0,192422.0,0.4974
2015-16,2015,Ch.XIII  Musculoskeletal,1420393.0,1331909.0,239847.0,905617.0,179895.0,586535.0,833695.0,0.1801
2015-16,2015,Ch.XIV  Genitourinary,1177776.0,928322.0,392798.0,456625.0,71276.0,498680.0,679034.0,0.4231
2015-16,2015,Ch.XIX  Injury & poisoning,20479724.0,17267195.0,6562835.0,6414100.0,2244079.0,9219451.0,11257662.0,0.3801
2015-16,2015,Ch.XV  Pregnancy & childbirth,1310939.0,1270286.0,128777.0,74026.0,20913.0,30.0,1310897.0,0.1014
2015-16,2015,Ch.XVI  Perinatal,305651.0,257023.0,48050.0,3130.0,2743.0,167352.0,138208.0,0.1869
2015-16,2015,Ch.XVII  Congenital,119345.0,105436.0,10390.0,62386.0,18180.0,68728.0,50593.0,0.0985
2015-16,2015,Ch.XVIII  Symptoms & signs,1983256.0,1687636.0,1149783.0,417306.0,79826.0,908717.0,1073438.0,0.6813
2015-16,2015,Ch.XXI  Health status factors,1091488.0,1062749.0,38723.0,257863.0,177169.0,480339.0,611097.0,0.0364
2015-16,2015,Other,13.0,9.0,7.0,0.0,0.0,5.0,8.0,0.7778
2016-17,2016,Ch.I  Infectious & parasitic,551492.0,402691.0,334413.0,52833.0,12272.0,274405.0,277059.0,0.8304
2016-17,2016,Ch.II  Neoplasms,2571569.0,2358240.0,214519.0,1056739.0,1077425.0,1264076.0,1307386.0,0.091
2016-17,2016,Ch.IV  Endocrine & metabolic,365194.0,277745.0,126683.0,62628.0,86184.0,178856.0,186322.0,0.4561
2016-17,2016,Ch.IX  Circulatory system,1418858.0,925622.0,541330.0,298226.0,48942.0,811101.0,607701.0,0.5848
2016-17,2016,Ch.V  Mental & behavioural,253117.0,169349.0,136393.0,10328.0,16290.0,134642.0,118144.0,0.8054
2016-17,2016,Ch.VI  Nervous system,452222.0,373264.0,127268.0,153278.0,87858.0,204516.0,247691.0,0.341
2016-17,2016,Ch.VII/VIII  Eye & Ear,811359.0,797064.0,52939.0,669569.0,71922.0,368231.0,443041.0,0.0664
2016-17,2016,Ch.X  Respiratory system,1651731.0,1035760.0,840118.0,153438.0,31543.0,816983.0,834702.0,0.8111
2016-17,2016,Ch.XI  Digestive system,2483473.0,2147874.0,520928.0,1376517.0,244440.0,1226652.0,1256672.0,0.2425
2016-17,2016,Ch.XII  Skin,421524.0,347124.0,172446.0,149936.0,22134.0,217418.0,204086.0,0.4968
2016-17,2016,Ch.XIII  Musculoskeletal,1450745.0,1357801.0,248426.0,922398.0,181046.0,594237.0,856362.0,0.183
2016-17,2016,Ch.XIV  Genitourinary,1208918.0,943901.0,408829.0,459379.0,68670.0,516800.0,692074.0,0.4331
2016-17,2016,Ch.XIX  Injury & poisoning,20976198.0,17558852.0,6675462.0,6558293.0,2317699.0,9481708.0,11492236.0,0.3802
2016-17,2016,Ch.XV  Pregnancy & childbirth,1288415.0,1245431.0,129123.0,72796.0,17179.0,17.0,1288380.0,0.1037
2016-17,2016,Ch.XVI  Perinatal,314395.0,265640.0,50102.0,3570.0,2175.0,171889.0,142398.0,0.1886
2016-17,2016,Ch.XVII  Congenital,121225.0,106562.0,10207.0,61712.0,20708.0,69526.0,51673.0,0.0958
2016-17,2016,Ch.XVIII  Symptoms & signs,2017948.0,1716025.0,1137607.0,456816.0,80376.0,917438.0,1099698.0,0.6629
2016-17,2016,Ch.XXI  Health status factors,1095421.0,1064384.0,39671.0,270987.0,175867.0,483705.0,611657.0,0.0373
2016-17,2016,Other,10.0,5.0,4.0,1.0,0.0,2.0,8.0,0.8
2017-18,2017,Ch.I  Infectious & parasitic,809605.0,511062.0,443873.0,50892.0,12379.0,409078.0,400503.0,0.8685
2017-18,2017,Ch.II  Neoplasms,2610222.0,2393322.0,216205.0,1054618.0,1114065.0,1279474.0,1330634.0,0.0903
2017-18,2017,Ch.IV  Endocrine & metabolic,386377.0,290532.0,134706.0,63578.0,90437.0,191225.0,195131.0,0.4637
2017-18,2017,Ch.IX  Circulatory system,1448899.0,932154.0,556544.0,289242.0,50230.0,831328.0,617528.0,0.5971
2017-18,2017,Ch.V  Mental & behavioural,260290.0,169968.0,137986.0,11850.0,14484.0,139000.0,120872.0,0.8118
2017-18,2017,Ch.VI  Nervous system,457729.0,373243.0,128769.0,150007.0,90331.0,208462.0,249240.0,0.345
2017-18,2017,Ch.VII/VIII  Eye & Ear,791892.0,774524.0,56868.0,645809.0,71203.0,359934.0,431907.0,0.0734
2017-18,2017,Ch.X  Respiratory system,1699121.0,1061348.0,867886.0,150391.0,34137.0,835741.0,863314.0,0.8177
2017-18,2017,Ch.XI  Digestive system,2475744.0,2145872.0,525133.0,1362966.0,253055.0,1224378.0,1251188.0,0.2447
2017-18,2017,Ch.XII  Skin,419596.0,344522.0,177799.0,143330.0,21134.0,216485.0,203089.0,0.5161
2017-18,2017,Ch.XIII  Musculoskeletal,1408661.0,1308276.0,265562.0,864443.0,173372.0,574297.0,834242.0,0.203
2017-18,2017,Ch.XIV  Genitourinary,1125993.0,894772.0,377179.0,441044.0,71078.0,476981.0,648954.0,0.4215
2017-18,2017,Ch.XIX  Injury & poisoning,21314913.0,17650876.0,6908561.0,6419193.0,2366559.0,9663101.0,11649630.0,0.3914
2017-18,2017,Ch.XV  Pregnancy & childbirth,1280378.0,1232986.0,130010.0,69063.0,18994.0,3.0,1280359.0,0.1054
2017-18,2017,Ch.XVI  Perinatal,307048.0,260568.0,49715.0,2997.0,1975.0,168660.0,138273.0,0.1908
2017-18,2017,Ch.XVII  Congenital,117838.0,103857.0,10234.0,60532.0,19179.0,67833.0,49986.0,0.0985
2017-18,2017,Ch.XVIII  Symptoms & signs,2068227.0,1748340.0,1173071.0,456028.0,82911.0,939746.0,1127826.0,0.671
2017-18,2017,Ch.XXI  Health status factors,1079191.0,1049648.0,40511.0,276339.0,170049.0,476165.0,602968.0,0.0386
2017-18,2017,Other,13.0,7.0,7.0,0.0,0.0,11.0,2.0,1.0
2018-19,2018,Ch.I  Infectious & parasitic,736619.0,481037.0,416217.0,49478.0,11829.0,375168.0,361427.0,0.8652
2018-19,2018,Ch.II  Neoplasms,2713748.0,2484035.0,223364.0,1111065.0,1142148.0,1337038.0,1376570.0,0.0899
2018-19,2018,Ch.IV  Endocrine & metabolic,416718.0,309946.0,144607.0,67231.0,96216.0,205739.0,210962.0,0.4666
2018-19,2018,Ch.IX  Circulatory system,1500845.0,947224.0,573573.0,289403.0,47730.0,863302.0,637486.0,0.6055
2018-19,2018,Ch.V  Mental & behavioural,275286.0,175879.0,145554.0,11198.0,13753.0,145358.0,129455.0,0.8276
2018-19,2018,Ch.VI  Nervous system,466886.0,376551.0,134687.0,148886.0,88803.0,212618.0,254245.0,0.3577
2018-19,2018,Ch.VII/VIII  Eye & Ear,826317.0,806846.0,61489.0,654307.0,90338.0,374791.0,451411.0,0.0762
2018-19,2018,Ch.X  Respiratory system,1774607.0,1094428.0,892913.0,153125.0,39349.0,874511.0,900051.0,0.8159
2018-19,2018,Ch.XI  Digestive system,2619886.0,2258974.0,563562.0,1425200.0,265204.0,1298216.0,1321495.0,0.2495
2018-19,2018,Ch.XII  Skin,452407.0,365794.0,195516.0,145502.0,22649.0,232813.0,219565.0,0.5345
2018-19,2018,Ch.XIII  Musculoskeletal,1415658.0,1305064.0,292172.0,839880.0,167871.0,575272.0,840161.0,0.2239
2018-19,2018,Ch.XIV  Genitourinary,1191955.0,930993.0,417427.0,437428.0,70725.0,516651.0,675256.0,0.4484
2018-19,2018,Ch.XIX  Injury & poisoning,22105428.0,18194196.0,7277366.0,6567562.0,2451298.0,10084770.0,12016229.0,0.4
2018-19,2018,Ch.XV  Pregnancy & childbirth,1255421.0,1210033.0,133363.0,66808.0,20012.0,5.0,1255410.0,0.1102
2018-19,2018,Ch.XVI  Perinatal,295980.0,250698.0,50818.0,2471.0,2859.0,162523.0,133309.0,0.2027
2018-19,2018,Ch.XVII  Congenital,118777.0,104073.0,10287.0,61402.0,19217.0,68909.0,49824.0,0.0988
2018-19,2018,Ch.XVIII  Symptoms & signs,2295725.0,1929188.0,1299363.0,481401.0,102665.0,1039422.0,1254418.0,0.6735
2018-19,2018,Ch.XXI  Health status factors,1059123.0,1030033.0,43637.0,283555.0,171266.0,473617.0,584800.0,0.0424
2018-19,2018,Other,12.0,4.0,3.0,0.0,0.0,8.0,4.0,0.75
2019-20,2019,Ch.I  Infectious & parasitic,705497.0,454701.0,393701.0,46412.0,11428.0,358356.0,346996.0,0.8658
2019-20,2019,Ch.II  Neoplasms,2805093.0,2572040.0,228314.0,1158337.0,1177995.0,1378022.0,1426577.0,0.0888
2019-20,2019,Ch.IV  Endocrine & metabolic,441960.0,328467.0,151740.0,75392.0,99291.0,219397.0,222425.0,0.462
2019-20,2019,Ch.IX  Circulatory system,1534819.0,964163.0,595834.0,282154.0,48775.0,881061.0,653153.0,0.618
2019-20,2019,Ch.V  Mental & behavioural,273127.0,171757.0,146042.0,10200.0,10573.0,141614.0,131120.0,0.8503
2019-20,2019,Ch.VI  Nervous system,476644.0,385177.0,137294.0,154421.0,89242.0,217565.0,258961.0,0.3564
2019-20,2019,Ch.VII/VIII  Eye & Ear,864887.0,845686.0,66056.0,668248.0,110560.0,388959.0,475856.0,0.0781
2019-20,2019,Ch.X  Respiratory system,1849330.0,1125884.0,929878.0,147470.0,40065.0,908824.0,940089.0,0.8259
2019-20,2019,Ch.XI  Digestive system,2670975.0,2301892.0,581043.0,1441884.0,273960.0,1320412.0,1350204.0,0.2524
2019-20,2019,Ch.XII  Skin,473364.0,382182.0,205483.0,149981.0,24658.0,244635.0,228581.0,0.5377
2019-20,2019,Ch.XIII  Musculoskeletal,1373148.0,1258674.0,303196.0,789985.0,160045.0,557330.0,815300.0,0.2409
2019-20,2019,Ch.XIV  Genitourinary,1181703.0,923091.0,420817.0,428729.0,68000.0,519684.0,661723.0,0.4559
2019-20,2019,Ch.XIX  Injury & poisoning,22266001.0,18268665.0,7350309.0,6554102.0,2495146.0,10163008.0,12091616.0,0.4023
2019-20,2019,Ch.XV  Pregnancy & childbirth,1230664.0,1188131.0,132622.0,65713.0,19870.0,21.0,1230629.0,0.1116
2019-20,2019,Ch.XVI  Perinatal,285649.0,244878.0,51897.0,2384.0,2646.0,156401.0,129151.0,0.2119
2019-20,2019,Ch.XVII  Congenital,109714.0,97332.0,10622.0,56491.0,18081.0,63638.0,46049.0,0.1091
2019-20,2019,Ch.XVIII  Symptoms & signs,2207173.0,1857670.0,1253459.0,455594.0,91548.0,991190.0,1211769.0,0.6747
2019-20,2019,Ch.XXI  Health status factors,1050801.0,1021019.0,47431.0,284873.0,169854.0,472483.0,577725.0,0.0465
2019-20,2019,Other,24023.0,13725.0,13438.0,44.0,58.0,14398.0,9622.0,0.9791
2020-21,2020,Ch.I  Infectious & parasitic,442869.0,264544.0,228302.0,27866.0,6251.0,225261.0,217402.0,0.863
2020-21,2020,Ch.II  Neoplasms,2275396.0,2073947.0,212998.0,942289.0,912604.0,1108457.0,1165162.0,0.1027
